date,1,2,3,4,5
20231106,0,0,0,0,1
20231109,0,1,0,0,0
20231113,0,1,0,0,0
20231116,0,0,0,0,1
20231120,0,0,1,0,0
20231123,0,0,0,1,0
20231127,0,0,0,1,0
20231130,0,0,0,0,1
20231204,0,0,0,0,1
20231207,0,0,0,0,1
20231211,1,0,0,0,0
20231214,1,0,0,0,0
20231218,0,0,0,0,1
20231221,0,0,0,1,0
20231225,1,0,0,0,0
20231228,0,0,0,0,1
20240101,0,0,0,1,0
20240104,1,0,0,0,0
20240108,1,0,0,0,0
20240111,0,1,0,0,0
20240115,0,0,0,0,1
20240118,0,0,0,0,1
20240122,0,1,0,0,0
20240125,1,0,0,0,0
20240129,0,0,1,0,0
20240201,0,0,1,0,0
20240205,0,0,0,1,0
20240208,0,0,0,1,0
20240212,1,0,0,0,0
20240215,1,0,0,0,0
20240219,0,0,0,1,0
20240222,0,0,0,1,0
20240226,0,1,0,0,0
20240229,1,0,0,0,0
20240304,1,0,0,0,0
20240307,1,0,0,0,0
20240311,1,0,0,0,0
20240314,0,1,0,0,0
20240318,0,0,1,0,0
20240321,0,1,0,0,0
20240325,0,0,1,0,0
20240328,0,0,1,0,0
20240401,0,0,0,1,0
20240404,0,0,0,0,1
20240408,0,0,0,1,0
20240411,1,0,0,0,0
20240415,0,0,0,0,1
20240418,0,1,0,0,0
20240422,1,0,0,0,0
20240425,1,0,0,0,0
20240429,0,0,1,0,0
20240502,1,0,0,0,0
20240506,0,0,1,0,0
20240509,1,0,0,0,0
20240513,1,0,0,0,0
20240516,0,0,1,0,0
20240520,0,0,0,1,0
20240523,1,0,0,0,0
20240527,0,0,1,0,0
20240530,0,0,0,0,1
20240603,0,0,0,1,0
20240606,1,0,0,0,0
20240610,0,0,1,0,0
20240613,1,0,0,0,0
20240617,0,0,0,1,0
20240620,0,0,0,0,1
20240624,0,0,0,0,1
20240627,0,1,0,0,0
20240701,0,1,0,0,0
20240704,0,0,1,0,0
20240708,0,0,1,0,0
20240711,0,0,0,1,0
20240715,0,0,1,0,0
20240718,1,0,0,0,0
20240722,0,0,0,1,0
20240725,0,0,0,1,0
20240729,0,0,1,0,0
20240801,0,0,0,0,1
20240805,0,0,0,0,1
20240808,0,1,0,0,0
20240812,0,1,0,0,0
20240815,0,0,1,0,0
20240819,0,0,0,0,1
20240822,0,0,0,0,1
20240826,0,0,0,0,1
20240829,0,0,0,1,0
20240902,0,0,1,0,0
20240905,0,1,0,0,0
20240909,0,0,1,0,0
20240912,1,0,0,0,0
20240916,1,0,0,0,0
20240919,0,0,1,0,0
20240923,0,0,0,0,1
20240926,0,1,0,0,0
20240930,0,0,1,0,0
20241003,0,0,0,0,1
20241007,0,0,0,1,0
